S/N,Original_Agency,Department,Original_Job_Title,Task_Line,AI_Integration_Probability_Percent,AI_Integration_Skill_Level,AI_Integration_Reasoning,Tool_1,Tool_2,Tool_3,Tool_1_Similarity,Tool_2_Similarity,Tool_3_Similarity,Tool_1_Desc,Tool_2_Desc,Tool_3_Desc,Subtask_1,Subtask_2,Subtask_3,LLM_Confidence_Score
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Strong interpersonal and communication skills with the ability to interact well with all levels of staff.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Able to work independently and is a good team player.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","Detail-oriented, resourceful, and analytical, with strong problem-solving abilities and experience in project and contract management. Highly self-motivated.",0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Proficient in Microsoft office applications and has a flair for numbers.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS",Have at least 7 years' experience in operational and government procurement-related work.,0,NA,This is a job requirement not a task,,,,,,,,,,,,,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.",0,NA,This is not a task,,,,,,,,,,,,,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","Oversee logistics teams supporting enforcement operations including equipment, uniform and fleet management, and pound and towing operations.",40,Medium,"AI can assist in logistics management through predictive analytics, inventory tracking, and fleet optimization, but human oversight is still required for decision-making and operational adjustments.",Pair,MAESTRO,GovText,0.414951613,0.387210731,0.377447235,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,GovText accelerates text-related multimodal AI adoption across government by providing reusable platform services and products.,"Coordinate the allocation and maintenance of equipment, uniforms, and fleet resources to ensure operational readiness.",Supervise logistics teams to ensure efficient management of pound and towing operations.,Monitor and review logistics processes to ensure compliance with operational standards and policies.,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","Collaborate with internal divisions to identify procurement needs, develop sourcing plans, and ensure alignment with project objectives and timelines.",35,Medium,"AI can support procurement planning by analyzing data and suggesting sourcing strategies, but collaboration and alignment with human stakeholders remain essential.",SENSE,Pair,READ,0.375154644,0.360464999,0.358434973,An AI data assistant that enables non-technical users to analyse datasets easily.,A suite of AI tools designed to help public officers enhance productivity using LLMs.,An AI-powered solution that streamlines document handling and verification.,Engage with internal divisions to gather and document procurement requirements and priorities.,Develop comprehensive sourcing plans that address identified needs and align with project objectives.,Coordinate with stakeholders to ensure procurement timelines are synchronized with project schedules.,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","Lead and manage end-to-end procurement processes, including the preparation of tender documents, evaluation of bids, and recommendation of awards.",50,Medium,"AI can automate parts of the procurement process, such as bid evaluation and document preparation, but human judgment is required for final recommendations and compliance checks.",READ,AISAY,Pair,0.412887619,0.393022523,0.361383306,An AI-powered solution that streamlines document handling and verification.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",A suite of AI tools designed to help public officers enhance productivity using LLMs.,"Coordinate the preparation of tender documents, ensuring compliance with procurement policies and guidelines.","Oversee the evaluation of bids, including assessing vendor qualifications and proposal alignment with requirements.",Prepare and present recommendations for award decisions to relevant stakeholders or committees.,0.9
1,Land Transport Authority,Training and Development,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","Guide and oversee on contract management, ensure vendor performance, and contract adherence to agreed terms.",45,Medium,"AI can monitor vendor performance and flag contract violations, but human intervention is needed for complex negotiations and enforcement actions.",READ,MAESTRO,AISAY,0.362173083,0.329259569,0.320701465,An AI-powered solution that streamlines document handling and verification.,An AI/ML Ops platform that helps agencies productionise use cases and automate workflows securely.,"An AI document reader that autonomously detects, extracts, and integrates information from various documents into systems.",Provide guidance on drafting and reviewing contract terms to ensure compliance with public service policies.,Monitor vendor performance against agreed deliverables and service standards.,Conduct regular reviews to ensure contracts are adhered to and address any deviations promptly.,0.9
