S/N,Job Title,Job Description,Agency,Department
1,"[LTA-TRO] MANAGER, ENFORCEMENT LOGISTICS","</strong></p>MANAGER, ENFORCEMENT LOGISTICS<p></p><p><strong> </strong></p><ul><li>Strong interpersonal and communication skills with the ability to interact well with all levels of staff.</li><li>Able to work independently and is a good team player.</li><li>Detail-oriented, resourceful, and analytical, with strong problem-solving abilities and experience in project and contract management. Highly self-motivated.</li><li>Proficient in Microsoft office applications and has a flair for numbers.</li><li>Have at least 7 years&#39; experience in operational and government procurement-related work.</li></ul><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p>We are seeking a dynamic and motivated individual with strong operational and contract management skills to join the Enforcement Engagement &amp; Training Division (EFET). EFET plays a key role in supporting the divisions’ operations under the Enforcement Subgroup in engagement, logistics, training, staff development, and tactical enforcement. This role is to lead the Logistics and Pound Operations sections and responsibilities include:</p><p></p><ul><li>Oversee logistics teams supporting enforcement operations including equipment, uniform and fleet management, and pound and towing operations.</li><li>Collaborate with internal divisions to identify procurement needs, develop sourcing plans, and ensure alignment with project objectives and timelines.</li><li>Lead and manage end-to-end procurement processes, including the preparation of tender documents, evaluation of bids, and recommendation of awards.</li><li>Guide and oversee on contract management, ensure vendor performance, and contract adherence to agreed terms.</li><li>Track and coordinate on the Enforcement Subgroup’s budget utilisation reports.</li><li>Maintain accurate procurement records and support audit activities by ensuring documentation is comprehensive and up to date.</li><li>Review and implement improvements to operational workflows to enhance efficiency.</li></ul><p></p><p>As part of the portfolio, you will be required to work closely with multiple stakeholders across departments, requiring strong interpersonal skills, attention to detail, and a solid understanding of public procurement frameworks.</p><p></p><p><strong>",Land Transport Authority,Training and Development
2,"[LTA-PT] MANAGER, BUS EXCELLENCE","</strong></p>Manager, Bus Excellence<p></p><p><strong> </strong></p><ul><li><p>Knowledge in Engineering (Electrical, Electronic, Mechanical, or equivalent).<br /> </p></li><li><p>Minimum 8 years of relevant experience in automotive technology or related fields, including customer engagement and project management.<br /> </p></li><li><p>Familiarity with bus technologies, including electric/cleaner energy vehicles, and fleet operations is a plus.<br /> </p></li><li><p>Strong communication, stakeholder management, and interpersonal skills.<br /> </p></li><li><p>Experience in public transport and data analytics is advantageous.<br /> </p></li><li><p>Analytical, detail-oriented, proactive, and able to manage multiple projects.<br /> </p></li><li><p>Passionate about public transport improvement and sustainability.<br /> </p></li><li><p>Candidates without direct experience but with relevant skills and motivation are welcome to apply.</p></li></ul><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p>Join the Bus Excellence team to lead initiatives that enhance the bus commuting experience through public engagement, technology trials, and safety improvements. You will focus on understanding commuter and operational needs, testing new bus technologies, and ensuring smooth integration with emerging infrastructure.</p><p></p><p>Your core responsibilities will include:<br /> </p><p>1. Lead public feedback and engagement sessions with commuters and bus operators to gather insights for bus design improvements.</p><p></p><p>2. Plan, manage and oversee bus platform trials including electric/cleaner energy buses, and retrofitted buses designed for inclusivity, to evaluate their operational effectiveness and commuter experience.</p><p></p><p>3. Drive bus safety initiatives, ensure compliance with standards, and lead related investigations and improvements.</p><p></p><p>4. Facilitate interoperability between existing fleets and new charging infrastructure to ensure smooth bus operations.</p><p></p><p><strong>",Land Transport Authority,Others
3,"[LTA-PT] SENIOR MANAGER, DRIVER DEVELOPMENT & ENGAGEMENT","</strong></p>Senior Manager, Driver Development &amp; Engagement<p></p><p><strong> </strong></p><p>- At least 10 years of working experience, preferably in operations and project<br />management</p><p>- Knowledge or experience in leading teams, change management and strategic<br />thinking will be an advantage</p><p>- Highly adaptable team player who is able to work independently and multi-task<br />in a dynamic and fast environment</p><p>- Self-motivated, astute, meticulous and resourceful to produce innovative<br />solutions to address a range of policy and operational matters</p><p>- Proficiency in digitalisation tools (e.g Python, UiPath, RPA) will have added advantage</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p><span>You will be in the team that oversees the development and management of taxi, private hire cars, public and private hire bus drivers.<br /><br />You will play a vital role in developing new Vocational Licence (VL) policy measures, managing VL training and testing operations, oversee the operation in handling feedbacks and appeal cases, and implementing initiatives to improve customer experience and digital services adoption rate. You will also oversee bi-annual Service Awards events for the Public Transport Group which aim to recognise individuals and teams for good customer service projects and behaviour.<br /><br />In addition, you will be required to develop competency of your officers as well as to plan and execute contingency plans to ensure operational continuity. <span>You will need to drive digitalisation and AI initiatives to improve the productivity of your officers and improve work processes.</span><br /><br /></span></p><p></p><p><strong>",Land Transport Authority,Others
4,[LTA-ITCD] LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER,"</strong></p>LEAD / PRINCIPAL / SENIOR SOFTWARE ENGINEER<p></p><p><strong> </strong></p><p><span>• Knowledge in Computer Science, Software Engineering, or a related field. </span></p><p><span>• At least 5 or more years of extensive experience in software development and cloud-native application design. </span></p><p><span>• Strong leadership skills with experience mentoring engineering teams. </span></p><p><span>• Proficiency in DevOps tools, CI/CD pipelines, and Infrastructure as Code (Terraform, CloudFormation). </span></p><p><span>• Knowledge of cloud security standards and best practices. </span></p><p><span>• Excellent problem-solving skills and ability to drive technical decision-making.</span><br /><br /><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p>You will be responsible for designing, developing, and optimizing cloud-based software solutions while leading a team of engineers. You will provide technical leadership in cloud-native application development, DevOps, and automation. You will design and develop scalable, resilient, and secure cloud-native applications and lead and mentor a team of software engineers, fostering best practices in software development and DevOps. Beyond thee, you will implement CI/CD pipelines and Infrastructure as Code (IaC) for cloud automation.<br />• Ensure adherence to security standards, compliance regulations, and coding best practices.<br />• Collaborate with stakeholders to define technical requirements and architecture strategies.<br /> </p><p></p><p><strong>",Land Transport Authority,"InfoComm, Technology, New Media Communications"
5,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING","</strong></p>[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK AND DEPOT ENGINEERING<p></p><p><strong> </strong></p><p>• Knowledge in Electrical or Mechanical Engineering<br />• A team player who is meticulous, proactive, resourceful, and responsible<br />• Good writing and communication skills<br />• Good overall computing proficiency including Microsoft Office<br />• Self-driven with strong initiative to learn and willingness to get hands-on experience for site works<br />• Available to perform shift work including weekends and public holidays when necessary<br />• Those without working experience are welcome to apply</p><p></p><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</p> </strong></p><p>You will work with a team of engineers focusing on engineering aspects of rolling stock and depot equipment. The projects you will be working on include LRT trains, specialised track maintenance vehicles ( locomotives, wagons, multi-function vehicles, rail grinding vehicles, etc.), rail depot equipment (automatic train wash plant, underfloor wheel lathe, underfloor lifting system, etc) and bus depot equipment ( automatic bus wash system, bus testing and maintenance equipment, etc). You will have the opportunities to work on developing technical specifications, reviewing design submission from contractors and explore engineering initiative to improve reliability, operation and maintenance of the rolling stock and depot equipment, as well as providing administrative support including managing correspondences, arranging meetings, and writing minutes, etc. You will also be working closely with cross functional teams from different disciplines within LTA, as well as with Railway Operators and contractors to provide support to project teams at various stages.</p><p></p><p><strong>",Land Transport Authority,Engineering
6,[LTA-ITCD] SENIOR / EXECUTIVE CYBERSECURITY ENGINEER,"</strong></p>SENIOR/EXECUTIVE CYBERSECURITY ENGINEER<p></p><p><strong> </strong></p><ul><li>Knowledge in Information Technology, Engineering, or related discipline.</li><li>At least 3 years of hands-on experience in cybersecurity design and implementation for Operational Technology (OT) systems.</li><li>Possess one or more professional certifications in cybersecurity (CISA, CISM, CISSP, CRISC, or equivalent).</li><li>Demonstrated expertise in cybersecurity risk management, vulnerability assessment, penetration testing, and compliance frameworks.</li><li>Good knowledge of industry standards including CSA&#39;s Cybersecurity Code of Practice, IEC 62443, and TS 50701.</li><li>Practical experience in network security, application security, system security, wireless communications, IoT security, or engineering environments.</li><li>Strong problem-solving and troubleshooting skills.</li><li>Excellent written, verbal communication and presentation skills.</li><li>Singapore citizenship required.</li><li>Candidates with more experience might be considered for senior position.</li></ul><ul><li>Experience leveraging smart technologies such as GenAI, RPA, and data analytics to enhance cybersecurity processes.</li><li>Advanced certifications or specialisations in OT/ICS security.</li><li>Experience with transport or critical infrastructure cybersecurity.<br /><br />As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</li></ul> </strong></p><p>You will be a key member of LTA Cybersecurity Consultancy team focused on keeping the Land Transport systems safe and secure, including Critical Information Infrastructure (CII) systems. The candidate should possess strong technical skills, industry certifications, and expected to keep abreast of new cybersecurity solutions and practices to protect against new emerging cybersecurity threats.</p><p></p><p><strong>Key Responsibilities:</strong></p><ul><li>Develop and incorporate project specific cybersecurity specifications &amp; industry best practices, and ensure alignment to assess cybersecurity risks, requirements, and prevailing cybersecurity policies &amp; standards.</li><li>Enhancing existing cybersecurity baseline process and workflow to facilitate incorporating security-by-design concepts into project lifecycle.</li><li>Participate in tender evaluation for technical proposals on cybersecurity and provide recommendations to the tender steering committee.</li><li>Work closely with LTA counterparts to manage vendors and exercise oversight on the cybersecurity robustness of the projects, including the review of security architecture, design &amp; implementation of the security solution &amp; controls (including firewall, anti-virus solution, SIEM, etc), risk assessment, and security testing reports such hardening and VAPT.</li><li>Identify non-compliance against policies and requirements during design, implementation and testing phases.</li><li>Review the cybersecurity risk assessments and risk treatments to identify and address the cybersecurity gaps &amp; weakness.</li></ul><p></p><p></p><p><strong>",Land Transport Authority,"InfoComm, Technology, New Media Communications"
7,"[LTA-P&C] DEPUTY/ ASSISTANT MANAGER, CONTRACTS (RAIL CORE SYSTEMS)","</strong></p>DEPUTY/ ASSISTANT MANAGER, CONTRACTS (RAIL CORE SYSTEMS)<p></p><p><strong> </strong></p><p><span>• Knowledge in Electrical / Electronics, Mechanical Engineering or Project &amp; Facilities Management </span></p><p><span>• Organised and meticulous with the ability to work independently </span></p><p><span>• Strong written, analytical, communication and interpersonal skills </span></p><p><span>• Team player and able to multi-task in a fast-paced environment </span></p><p><span>• Good knowledge of Microsoft Office, including Word, Excel and PowerPoint </span></p><p><span>• Candidate with experience in large-scale infrastructure projects and contracts management will be considered for a senior position </span></p><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p><span>You will be part of a team managing the contracts for the implementation of the land transport infrastructure projects. You will also assist in the preparation of cost estimates for new projects / initiatives / feasibility studies. In addition, you will prepare tender documents and ensure that the tender process comply with Authority’s requirements and adhere to the procurement procedures. You will be involved in tender evaluation, evaluating of tender bids, administrating of contracts according to contract provisions and in accordance with financial procedures such as processing of payments, valuation of variations, assessment of claims, cash-flow projects and providing contractual advices to project teams. You will also be required to develop and maintain a comprehensive cost database relating to assets-replacement projects.</span></p><p></p><p><strong>",Land Transport Authority,Engineering
8,[LTA-ADM] DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT),"</strong></p>DEPUTY/ASSISTANT MANAGER (PROJECT / WORKPLACE DEVELOPMENT)<p></p><p><strong> </strong></p><ul><li><p>Background knowledge in mechanical &amp; electrical engineering, with at least 4 years of experience in the project management of new developments or A&amp;A works to office buildings. Those with more experience will be considered for the higher post.</p></li><li><p>Experience and knowledge in project management and coordination for medium to large sized projects, including A&amp;A of live buildings</p></li><li><p>Good verbal and written communication skills, interpersonal skills for collaboration with stakeholders across all levels.</p></li><li><p>Self-motivated, detail-oriented, and possess strong conceptual and analytical thinking skills</p></li><li><p>Good team player, driven and with the ability to work independently</p></li><li><p>Able to understand technical drawings, specifications, and requirements.</p></li><li><p>Good understanding of GreenMark for Non-residential buildings, integrated digital delivery approach and building technologies (including smart office management solutions).</p></li><li><p>Knowledge of Public Sector requirements and construction related procurement, and Change Management will be an advantage</p></li></ul><p></p><div><p>As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment</p></div> </strong></p><p><span>You will be an integral part of the team in the planning, management and execution of LTA’s office development projects and A&amp;A of existing offices/buildings. You will need to be involved in all stages of project inception, planning, change management, execution and completion. To ensure assigned projects meet user requirements and are completed on time, safely, within budget and of the highest quality, you will be responsible to: </span></p><ul><li><p><span>Assist in leading the assigned projects on stakeholder management, cost planning, consultant and contractor engagement, design management, construction management from inception till completion, handover and closeout.</span></p></li><li><p><span>To work with project stakeholders to determine the needs and constraints in producing the detailed project plan, including project programme with clear milestones towards project delivery</span></p></li><li><p><span>Manage and oversee all project procurement and coordination activities.</span></p></li><li><p><span>On-site coordination of activities of the appointed contractors and consultants in alignment with the project schedule and budget is expected.</span></p></li><li><p><span>To lead and facilitate meetings with Multi-Disciplinary Team Consultants, Contractors, relevant external agencies, as well as internal and external stakeholders to ensure project delivery. </span></p></li><li><p><span>To maintain effective project governance, processes, and systems throughout the project, including proper compilation of project documents for archival and project closeout.</span></p></li><li><p><span>Any other work-related tasks or duties as assigned by the management.</span></p></li></ul><p><br /> </p><p></p><p><strong>",Land Transport Authority,Building and Estate Management
9,"[LTA-RSE] ASSISTANT ENGINEER, ROLLING STOCK PROJECTS","</strong></p>ASSISTANT ENGINEER, ROLLING STOCK PROJECTS<p></p><p><strong> </strong></p><p><span>• Knowledge in Electrical / Electronics / Mechanical Engineering </span></p><p><span>• Good appreciation of the MRT system complexity and interface requirements </span></p><p><span>• Good communication, presentation and inter-personal skills </span></p><p><span>• Self-driven with strong initiative to learn and willingness to get hands-on experience for site works </span></p><p><span>• Team player who is analytical, resourceful and result-oriented </span></p><p><span>• Ability to work independently </span></p><p><span>• Able to perform shift work including weekends and public holidays </span></p><p><span>• Available for overseas travel for train testing and quality inspection</span></p><p><span>• Those without working experience are welcome to apply<br /><br />As part of the shortlisting process for the role, you may be required to complete a medical declaration and / or undergo further assessment.</span></p> </strong></p><p><span>You will play an integral role in managing large-scale Rolling Stock (Passenger Trains) projects for the new and existing MRT lines, including design review, manufacturing, testing and commissioning. You will lead/support investigation of train faults and failures and also various engineering initiatives to improve train reliability, operation and maintenance. You will be working closely with cross functional teams from different disciplines within LTA, appointed Railway Operator, relevant parties and stakeholders to ensure that the projects are well co-ordinated and progress according to the stipulated timeline. </span></p><p></p><p><strong>",Land Transport Authority,Engineering
10,"[LTA-TRO] ENGINEER, COMMUTER FACILITIES MANAGEMENT","</strong></p>You will be involved in the management, maintenance and engineering design of commuter facilities, such as covered linkways, pedestrian overhead bridges, pedestrian underpasses, footbridges and bus/taxi/pick up drop off shelters to ensure safe operation for use by the public at all times.<p></p><p><strong> </strong></p><p><span>- Knowledge in Civil/Structural Engineering or equivalent </span></p><p><span>- Independent, self-motivated and possess good project management and organisational skills </span></p><p><span>- Good writing, communication and interpersonal skills </span></p><p><span>- Good knowledge of common civil construction materials such as reinforced concrete, steel, asphalt etc preferred </span></p><p><span>- Relevant experience in commuter facilities construction, handling of customer feedback, GIS, productivity and automation tools will be an advantage </span></p><p></p><p><span>As part of the shortlisting process for the role, you may be required to complete a medical declaration and /or undergo further assessment.</span></p> </strong></p><p><span>You will lead the preparation of tender specifications, manage and supervise commuter facilities inspection/maintenance contracts, ensuring safety requirements for on-site activities, as well as carry out quantity/quality audit checks on works on site. Beside reviewing construction drawings and offering professional advice to developers, consultants and other government agencies on development submissions/projects related to maintenance of commuter facilities, part of the work scope also include the management of feedback from the public, other government agencies and private developers.</span></p><p></p><p><strong>",Land Transport Authority,Engineering
